ID,PESEL,First Name,Last Name,Date Of Birth,Department,Position,Start,End,Wage
eda4e281-a64a-4243-96c0-de682c7090a1,65111123190,Jody,Cole,1965-11-11,New Brettberg - housing,Specialist,2022-08-24,,19229
5aab2067-c331-4dbb-a0b3-536a3dd4d3b8,93092209774,Derrick,Castillo,1993-09-22,Lake Pamelaborough - cars,Mid-Level,2024-08-07,,8652
d1e5e61a-1c52-480b-8423-f811eec163ae,83112787920,Tammy,Rodriguez,1983-11-27,Aprilside - cars,Senior,2022-03-01,,12413
96e874d8-948f-42d5-9c38-3ed1a7960e70,93092134948,Samantha,King,1993-09-21,Kennethfurt - cars,Junior,2023-06-14,,5618
fadf5057-7dbb-4608-9c4e-5d59066a6f99,75070943690,Mitchell,Harris,1975-07-09,Kennethfurt - cars,Senior,2023-01-05,2024-03-19,10508
238c4ec9-088f-4e51-b3f4-dc8669073931,75070943690,Mitchell,Harris,1975-07-09,Kennethfurt - cars,Specialist,2024-03-19,,13060
0c88a58d-f6c5-4c77-a6f2-f56f719092dc,97090653566,Jason,Thomas,1997-09-06,West Danielburgh - housing,Mid-Level,2024-06-05,,10308
7a03835e-ecef-4bd7-b01b-62c9deb9681f,97120746347,Sue,Richard,1997-12-07,Davidmouth - health,Mid-Level,2022-08-10,,9830
44ec80a2-3188-4d23-9ce4-938939c66388,73112366995,Stacie,Simmons,1973-11-23,South Angelicabury - housing,Senior,2024-05-05,,7426
cba970c9-dc8b-4f95-950c-74fd87d18d33,88022511021,Michelle,Hensley,1988-02-25,Clarkshire - housing,Senior,2024-01-17,,10196
ec726d81-d095-4a38-973f-3298b30ac786,54112098468,Connie,Williams,1954-11-20,Kathleenburgh - health,Specialist,2024-01-08,,12557
c41f60e0-479b-4139-9879-97a7f121922a,71120911798,Kenneth,Stone,1971-12-09,West Michael - cars,Senior,2024-10-09,,9260
21c974f8-8309-4a7d-9185-fddae18065be,94070201070,Destiny,Orr,1994-07-02,Clarkshire - health,Junior,2024-07-06,,8752
76fbabbf-580f-45b5-aeb8-8a1286512f5c,88022864686,Maria,Anderson,1988-02-28,Kimberlyside - housing,Senior,2022-03-14,2023-10-06,9448
c170912f-5d46-44b8-9ced-e84eaad51376,88022864686,Maria,Anderson,1988-02-28,Kimberlyside - housing,Specialist,2023-10-06,,12713
465f08de-685a-4dc2-8307-50828b369da0,61101433003,Stephen,Gomez,1961-10-14,Garciafurt - cars,Specialist,2024-12-22,,15641
a149bc51-9b88-4e55-af79-8702d1dafe46,83052582120,Diana,Porter,1983-05-25,West Karenland - housing,Senior,2023-10-24,,13083
1dd3ba44-ea6b-41aa-af39-25e1ab376199,90010631998,Joe,Rivera,1990-01-06,Powellstad - health,Mid-Level,2024-02-13,,16308
14679a32-bfaa-46f4-b092-f5a6b33390c8,85011638860,Kimberly,Sanchez,1985-01-16,North Kristinton - health,Senior,2022-01-30,,15378
7b9b79fd-3123-4b92-8d5c-2e90d6e3dffb,97112502214,Sean,Young,1997-11-25,West Crystalbury - health,Junior,2024-12-23,,6677
20be24ac-5b8b-408d-a2aa-b857263f5bfb,92090142494,David,Washington,1992-09-01,Kimberlyside - health,Mid-Level,2022-08-13,,10703
01508ec9-6504-4ef5-b908-b585f2d2c0ec,77070709557,Anthony,Salazar,1977-07-07,East Crystalfort - health,Senior,2023-05-25,,7167
c31fd86e-5a65-4200-acc8-3060d0477ae3,87080365508,Kevin,Cline,1987-08-03,Coopershire - health,Mid-Level,2022-07-23,,4110
27a6427e-c45e-476a-804e-46cef6f58464,85030602950,Ellen,Mayo,1985-03-06,East Andrewview - cars,Mid-Level,2022-03-15,2024-01-05,7320
7917291f-937f-4bff-a9c2-8acc7cba0b47,85030602950,Ellen,Mayo,1985-03-06,East Andrewview - cars,Senior,2024-01-05,,9116
bce81935-c70d-4ee9-b649-e45b01d39ec3,80120162592,Carla,Jackson,1980-12-01,North Sherry - health,Senior,2023-09-29,,11863
8ff59405-af69-4999-b23e-bb36fdfac431,93030830208,Jennifer,Ryan,1993-03-08,East Andrewview - health,Mid-Level,2022-11-16,,4717
91ed61f9-f5d0-4120-b0fb-420436c71411,75101800518,Kim,Jones,1975-10-18,Lake Pamelaborough - housing,Specialist,2022-08-10,,18480
df4add91-d942-455b-9f7c-fe43ed719cba,02052021660,Michael,Simpson,2002-05-20,Robertton - cars,Junior,2022-03-20,,13391
83024e65-5a55-4e6b-9cc1-f74578a83aa2,03053079607,Daniel,Joseph,2003-05-30,South Angelicabury - health,Mid-Level,2024-11-04,,11350
4d87de3f-eb2f-4d1c-bdac-f8215063bba7,04032847042,Brian,Walker,2004-03-28,North Darlene - health,Junior,2024-04-05,,9446
51f2e2e8-d581-42d7-99a2-2a12a57b746b,80072305232,Stefanie,Wilson,1980-07-23,West Crystalbury - health,Senior,2022-08-24,,16052
314cf299-d636-48d0-93c2-89f63ccba68c,56070942810,Joshua,Williams,1956-07-09,Coxmouth - housing,Specialist,2022-02-09,,11498
f8239b48-f3b5-4c10-aad7-e3f97aabf8a1,83110341926,Christopher,Hodge,1983-11-03,Jeffreyfurt - housing,Mid-Level,2024-10-27,,15091
dab0d426-73d0-47ef-a260-4fc0047a726c,98112356544,Dana,Lane,1998-11-23,New Caitlin - housing,Junior,2023-08-09,,5346
850406b4-b1b0-4db7-bbaf-a4be57a2b66b,94121506325,Amy,Singh,1994-12-15,East Veronica - health,Senior,2022-05-24,,8038
d093d01f-ee61-4d7d-8e63-a2a19603fb83,72062233434,Martin,Gutierrez,1972-06-22,North Darlene - health,Specialist,2023-11-09,,15570
3b81cd37-da7a-4336-b731-d1441f89445e,82071304960,Nicole,Watson,1982-07-13,Marialand - health,Specialist,2024-01-03,,16940
37a6c4b7-bff3-4b6c-b0e3-5f9afa1a29c3,98120434171,Sonia,Pierce,1998-12-04,Robertton - cars,Junior,2024-06-21,,8926
e8a0ca20-2da8-4668-84db-effa089ac699,94042420395,Nancy,Stewart,1994-04-24,South Susan - housing,Senior,2023-04-16,2024-06-09,12457
ba0952ca-7f55-4fbb-ba03-8ff2069ba99d,94042420395,Nancy,Stewart,1994-04-24,South Susan - housing,Specialist,2024-06-09,,13747
752f2daa-6b8d-4f0b-9a9c-2cd35204b99b,96040867176,Christina,Gross,1996-04-08,South Bryce - health,Mid-Level,2023-04-08,,16629
df8ffa02-6fad-4005-b241-4ca106d4ddb4,84121213684,Courtney,Clark,1984-12-12,New Christopher - housing,Senior,2022-05-24,,14452
c9b59815-5580-4de4-91b4-f8f610cde8d0,00032659502,Samantha,Zavala,2000-03-26,Fergusonberg - housing,Mid-Level,2023-10-23,,15056
5a6082ff-38f5-4648-a52a-2d693f4e486b,93061982587,John,Welch,1993-06-19,West Danielburgh - health,Junior,2022-07-07,2024-04-20,8599
3d8920be-51f2-40a9-9120-b6303bd36d17,93061982587,John,Welch,1993-06-19,West Danielburgh - health,Mid-Level,2024-04-20,,9124
42245f2a-a5b8-45cb-ac9e-8b905237f359,95072438181,Kelly,Meadows,1995-07-24,Rebeccastad - housing,Junior,2023-02-20,,8744
0f99828f-c545-4941-ae82-b7caf9ee5e46,91102458703,Lisa,Armstrong,1991-10-24,Loweryfurt - health,Mid-Level,2022-06-03,,9751
ae0bd01f-f64d-4f0e-80a4-24d3c1470fc8,81122996336,Vanessa,Harris,1981-12-29,Port Judyfurt - housing,Senior,2024-11-10,,8810
160ea7c3-bc29-47cd-9cff-2b232461195d,95030900972,Samantha,Stewart,1995-03-09,Seanstad - housing,Junior,2023-08-14,,6211
788c3aff-a9cc-4816-b4ca-d94538c05023,78070952235,Kevin,Wilson,1978-07-09,South Jasmineberg - cars,Mid-Level,2024-05-18,,13411
481ddaec-f9a1-4fb9-b3fd-e4487d8a72a4,79110847746,John,Smith,1979-11-08,South Jasmineberg - cars,Specialist,2023-05-09,,6027
e04d4c9c-3952-4186-9cc1-b4e68efef543,01102913892,Jonathon,Martin,2001-10-29,Stewartborough - cars,Junior,2022-10-14,2023-12-06,12233
463bceb1-27f3-48ac-973d-f20bc0102c8c,01102913892,Jonathon,Martin,2001-10-29,East Scott - housing,Mid-Level,2023-12-06,,15555
818e5c92-d552-4afd-a2fd-ef2b78d01057,99072826519,Allison,Dixon,1999-07-28,Powellstad - health,Mid-Level,2023-12-05,,9112
003ac75d-357a-4d81-a2e0-1ecf3981ee6a,93112269128,Dawn,Watkins,1993-11-22,East Alexanderview - housing,Junior,2022-12-23,,8080
821a4b12-a44e-40e6-8549-7b75fb07a4a2,82112851659,Karl,Yates,1982-11-28,North Melaniefurt - housing,Specialist,2024-03-29,,14375
bad3b194-7ae5-46f1-b509-67bfe6f6dda7,94030176990,Brian,Smith,1994-03-01,New Christopher - cars,Senior,2023-07-07,2024-07-20,12888
8e66b1f8-bb78-4d62-a164-ad9f4d95792d,94030176990,Brian,Smith,1994-03-01,New Christopher - cars,Specialist,2024-07-20,,16280
44eddb7c-4dd5-4c42-b5de-a5fa0aba9c36,80042499916,Robert,Hayden,1980-04-24,South Bryce - cars,Specialist,2022-10-21,,9847
379b3ab1-b3e3-4b41-a063-2d133e227841,76011476062,James,Olson,1976-01-14,West Michael - health,Specialist,2024-08-23,,13840
5de07963-567f-4650-8f84-4a453e7593a5,00041099917,Julie,Fields,2000-04-10,Port Michaelville - housing,Mid-Level,2024-12-16,,17888
09e03167-095e-4839-ad1f-c6f20f24ff0d,00071416775,Daniel,Perez,2000-07-14,Daltonmouth - housing,Junior,2023-10-19,,5836
2616b5de-49ae-4362-88fe-b1a0bae0ba1c,02112094557,Dustin,Stout,2002-11-20,Georgemouth - housing,Junior,2024-12-08,,9512
96590a51-dbaf-43e8-87df-73b5e2d9c75b,95010314548,Thomas,Peterson,1995-01-03,South Angelicabury - cars,Mid-Level,2022-10-23,,14266
47032dac-604e-4727-a5bf-ebae52d77086,01051397815,Anita,Ruiz,2001-05-13,Henryside - housing,Senior,2023-11-28,,10629
a85afbf9-9a44-4889-b05d-3b91d96636e0,98060112586,Ronald,Kennedy,1998-06-01,South Angelicabury - cars,Junior,2022-05-04,,6480
79455ccd-1935-4d14-a05a-dec514157474,02042582625,Kevin,Rich,2002-04-25,South Jasmineberg - health,Junior,2024-07-08,,10058
584ec1c2-0c68-4b4a-89cd-cea24b7989b7,00110144557,Robert,Murray,2000-11-01,Kathleenburgh - health,Junior,2023-08-05,,9819
1dcdeb63-1643-4631-947d-325c05e22ca2,94122726027,Christopher,Curtis,1994-12-27,South Angelicabury - cars,Mid-Level,2024-01-03,,17134
a9083faa-208a-4230-812d-0065bb2c9fef,97072678945,Christian,Dougherty,1997-07-26,East Alexanderview - health,Junior,2024-08-22,,6558
7fe9ffbe-9c45-45bd-876a-886d497bde1c,86081998580,Daniel,Hughes,1986-08-19,East Katrina - cars,Specialist,2024-12-22,,13634
ca784a53-31a6-4a30-8038-3b55d75ba814,74081416289,Monique,Thompson,1974-08-14,Robertton - cars,Specialist,2022-07-10,,9053
36192a9a-53f9-4ca6-9ece-8d2cf3781957,90051710151,Jordan,Obrien,1990-05-17,Jameshaven - housing,Senior,2022-08-08,,16371
a355c7c3-5d26-4e15-a550-a3cb3e4e47f8,00062195768,Alex,Guerra,2000-06-21,Millerside - health,Junior,2024-03-15,,7449
06fd9b24-bc0c-4f32-a3e9-d4e8807e9838,81011810350,Heather,Hodges,1981-01-18,Timothytown - health,Specialist,2023-04-17,,14092
d8ea66d0-d493-42ea-865a-82d1a9062085,89051060786,Brandy,Peterson,1989-05-10,North Sherry - health,Senior,2024-06-07,,13752
02025e3b-7dcf-4bf1-a2c8-13d836d5b20d,94021896016,Tracy,Morgan,1994-02-18,Seanstad - cars,Senior,2022-05-10,,9050
9af3efa5-cb02-4b0a-b92f-9e06adbe51ea,84081468148,Tara,Potts,1984-08-14,Courtneyberg - cars,Mid-Level,2022-12-13,,10122
8b067b1c-d0bd-4f15-a9f0-2c47bbcb23db,89040634813,Heather,Briggs,1989-04-06,Daltonmouth - housing,Senior,2024-11-09,,19599
95a629c9-4e7a-464b-a355-4e269e34a02a,83081142384,James,Owen,1983-08-11,East Scott - health,Specialist,2024-06-06,,18733
a62fdf35-bbed-4e49-b8b6-ed370773de37,63040911112,Kenneth,Clark,1963-04-09,Henryside - health,Specialist,2022-10-16,,19508
b69c386c-69f4-4da0-b329-876fe112496d,95122367074,Donald,Smith,1995-12-23,West Karenland - health,Senior,2023-07-14,,13290
5ac91769-b691-4790-9428-71f31e3843ae,71053108113,Christina,Leblanc,1971-05-31,Daltonmouth - health,Specialist,2024-03-20,,13779
d933e135-d9ef-4102-aa23-ee6249ccfa9c,80102143043,Joshua,Nguyen,1980-10-21,East Katrina - housing,Mid-Level,2023-01-28,,9320
3c4fb00d-cc5c-4940-8468-3a3ceec110a2,71052428098,Rodney,Jones,1971-05-24,Robertton - health,Specialist,2024-02-15,,16848
f6dc7244-598b-450a-8850-b64c47ad1553,75070415353,Connor,Lynch,1975-07-04,North Lori - cars,Specialist,2023-11-18,,14390
aa941c40-21c2-4e96-8ffe-58d9d86528ea,94050716521,Kenneth,Hunt,1994-05-07,Powellstad - housing,Mid-Level,2022-10-24,,15560
ba2190a5-1d21-4327-9c21-b6f87c9ec2c1,86041989454,Betty,Smith,1986-04-19,Raymondchester - housing,Junior,2024-08-10,,9669
8b95cad2-9c50-46b2-8595-d802b7d03d72,99062521475,Tina,Saunders,1999-06-25,Lake Pamelaborough - health,Mid-Level,2024-07-12,,6800
1b5987a1-0b2f-49a4-baca-97030a2aa668,85062916607,Anthony,Carter,1985-06-29,Seanstad - cars,Junior,2023-01-31,,6051
7dd137c2-a9a4-422c-b9bf-58b54e9ca169,01020278767,Thomas,Evans,2001-02-02,Johnsonhaven - health,Junior,2024-03-25,,8289
0bb817b1-c472-4957-8825-b8bd62743f86,93042289957,Erika,Fuller,1993-04-22,Heidimouth - housing,Mid-Level,2023-05-10,,13997
36ab6cca-d505-4019-b611-114dae0d84af,93030443039,Anna,Mcneil,1993-03-04,Kathleenburgh - health,Mid-Level,2023-08-05,,10526
c0e6da1d-5f18-4985-8e45-b8afa093acea,86031945730,Carlos,Smith,1986-03-19,New Caitlin - cars,Mid-Level,2024-09-29,,9481
f5324e8d-0112-48c6-8c52-9089a71b46a5,94051554427,Christopher,Lara,1994-05-15,Coopershire - health,Specialist,2023-01-21,,16422
