ID,PESEL,First Name,Last Name,Date Of Birth,Department,Position,Start,End,Wage
a1923ad2-81c2-4b20-8556-d4b8bb1b355e,71092449150,Kristin,Brewer,1971-09-24,Port Michaelville - health,Senior,2024-12-05,,12343
6aba76ef-7302-4ccc-bcab-9e2b884f8c0d,58121924619,Ashley,Franco,1958-12-19,Marialand - cars,Senior,2007-06-08,2008-12-08,16517
2216edcb-67a6-4b68-8eea-d0bb60be9751,58121924619,Ashley,Franco,1958-12-19,Marialand - cars,Specialist,2008-12-08,,17063
6e0e0229-4317-429e-9eeb-d0fbbd564ed3,65111123190,Jody,Cole,1965-11-11,New Brettberg - housing,Intern,1989-06-19,1998-09-11,10659
6698fbfc-a456-4e7a-be45-29a881ee74ad,65111123190,Jody,Cole,1965-11-11,New Brettberg - housing,Junior,1998-09-11,2007-03-18,12260
ab0eb05a-2f81-47c4-8c1c-5a3285aaef30,65111123190,Jody,Cole,1965-11-11,New Brettberg - housing,Mid-Level,2007-03-18,2015-10-01,13168
3046f528-8c93-4241-a4b5-aa64ff5dca56,65111123190,Jody,Cole,1965-11-11,New Brettberg - housing,Senior,2015-10-01,,15918
815f7b47-f9c0-405a-9a81-2132b5879193,68082963826,Kimberly,Wong,1968-08-29,Rebeccastad - housing,Specialist,2024-08-31,,17995
c94ef372-b78c-4db2-b474-5302ee908e4f,93092209774,Derrick,Castillo,1993-09-22,Lake Pamelaborough - cars,Junior,2019-08-20,,7047
d915fb97-b9ec-4c19-9b6a-60eeefcfb3d3,57123134433,Pamela,Clark,1957-12-31,West Karenland - cars,Senior,1991-07-21,1999-08-14,8463
56382079-66a5-4a58-974a-0dac8f818ce4,57123134433,Pamela,Clark,1957-12-31,West Karenland - cars,Specialist,1999-08-14,,10712
f7ba3948-993c-4aea-9379-d743487fcdad,70121057573,Bryan,Hardy,1970-12-10,Lake Robert - health,Intern,1997-12-10,1999-12-15,12893
38f0232f-7ada-4947-8385-65c04a6aeb0b,70121057573,Bryan,Hardy,1970-12-10,Lake Robert - health,Junior,1999-12-15,2003-04-08,15066
7481e22e-f5ad-4b46-b7d1-bcabfdff8021,70121057573,Bryan,Hardy,1970-12-10,Lake Robert - health,Mid-Level,2003-04-08,2012-02-13,15248
93a6cb3f-ee6a-41d5-aa68-71dc8e0bcd45,70121057573,Bryan,Hardy,1970-12-10,Lake Robert - health,Senior,2012-02-13,2014-03-21,18813
661fc6b7-0bde-4a65-bc4f-c49a2622d980,70121057573,Bryan,Hardy,1970-12-10,Lake Robert - health,Specialist,2014-03-21,,18852
3f206100-059a-4602-8551-17f6c8d10064,84100800887,Marissa,Gonzalez,1984-10-08,Davidmouth - housing,Specialist,2015-09-02,,11508
be65bba0-a126-4020-a6d9-875d38a345ac,83112787920,Tammy,Rodriguez,1983-11-27,Aprilside - cars,Intern,2006-06-24,2013-05-10,9491
0116bfa6-79c6-4e5b-92e5-3b3616d4ae83,83112787920,Tammy,Rodriguez,1983-11-27,Aprilside - cars,Junior,2013-05-10,2014-08-20,10434
e514467c-bc03-49d5-8c4a-25ce6e382277,83112787920,Tammy,Rodriguez,1983-11-27,Aprilside - cars,Mid-Level,2014-08-20,,11877
018d93bf-f3e0-4192-9836-7d083c66aa20,90022872284,Alicia,Rodgers,1990-02-28,East Scott - housing,Junior,2023-06-08,,4237
b2931a5b-2b04-49c2-bf89-06003aa64f35,54022833797,Barry,Lambert,1954-02-28,Juliabury - housing,Intern,1980-01-01,1987-01-31,3874
f31ca20f-7313-439b-aa84-3977381e4075,54022833797,Barry,Lambert,1954-02-28,Juliabury - housing,Junior,1987-01-31,1994-11-17,7457
6c03893b-eb6b-4fec-83c7-b4be261417a8,54022833797,Barry,Lambert,1954-02-28,Juliabury - housing,Mid-Level,1994-11-17,2001-07-31,7805
383f1fff-776e-4323-8ce4-4241788383b9,54022833797,Barry,Lambert,1954-02-28,Juliabury - housing,Senior,2001-07-31,2006-10-26,9929
785972d2-dc57-4389-b81c-9929641165b2,54022833797,Barry,Lambert,1954-02-28,Juliabury - housing,Specialist,2006-10-26,,11439
537deba0-fbe0-4a4b-8c3d-8c8be37f5290,75042547264,Valerie,King,1975-04-25,Daltonmouth - health,Specialist,2012-10-28,,19992
80f87e49-605a-442d-bc14-08c279c83bb5,88100458590,Walter,Arnold,1988-10-04,East Scott - health,Senior,2024-04-16,,13016
