ID,PESEL,First Name,Last Name,Date Of Birth,Department,Position,Start,End,Wage
a1923ad2-81c2-4b20-8556-d4b8bb1b355e,71092449150,Kristin,Brewer,1971-09-24,Port Michaelville - health,Senior,2024-12-05,,12343
3046f528-8c93-4241-a4b5-aa64ff5dca56,65111123190,Jody,Cole,1965-11-11,New Brettberg - housing,Senior,2015-10-01,2022-08-24,15918
815f7b47-f9c0-405a-9a81-2132b5879193,68082963826,Kimberly,Wong,1968-08-29,Rebeccastad - housing,Specialist,2024-08-31,,17995
c94ef372-b78c-4db2-b474-5302ee908e4f,93092209774,Derrick,Castillo,1993-09-22,Lake Pamelaborough - cars,Junior,2019-08-20,2024-08-07,7047
661fc6b7-0bde-4a65-bc4f-c49a2622d980,70121057573,Bryan,Hardy,1970-12-10,Lake Robert - health,Specialist,2014-03-21,,18852
e514467c-bc03-49d5-8c4a-25ce6e382277,83112787920,Tammy,Rodriguez,1983-11-27,Aprilside - cars,Mid-Level,2014-08-20,2022-03-01,11877
018d93bf-f3e0-4192-9836-7d083c66aa20,90022872284,Alicia,Rodgers,1990-02-28,East Scott - housing,Junior,2023-06-08,,4237
80f87e49-605a-442d-bc14-08c279c83bb5,88100458590,Walter,Arnold,1988-10-04,East Scott - health,Senior,2024-04-16,,13016
5dfeb8c6-eff9-44ef-b3e2-e1619be9ae2f,59100289862,Gregory,Crane,1959-10-02,North Sherry - health,Specialist,2019-07-24,,15941
ff7e6a8e-e337-4db2-b224-5eca995fb7bc,93092134948,Samantha,King,1993-09-21,Kennethfurt - cars,Intern,2014-06-07,2023-06-14,4809
ea96ce86-1a95-4a9f-8292-586c8f170d14,00041341120,Jennifer,Zavala,2000-04-13,Kathleenburgh - cars,Junior,2022-07-05,,7248
8633f995-dc2b-4f6d-b362-22070559fe5b,81021027508,Jonathan,Butler,1981-02-10,Hayneshaven - health,Senior,2019-04-27,,11206
3fcefdb6-cc87-4fa5-b7b4-3d2d4844b5af,74030344025,Kerri,Jefferson,1974-03-03,West Josephburgh - health,Senior,2021-11-10,,10103
277e8e49-2c61-46c7-89ec-8b5cb1e84893,96082667662,Eugene,Beck,1996-08-26,East Andrewview - housing,Mid-Level,2023-01-26,,11410
11c9380d-cb41-4c09-a774-0022cfb587fb,87012727897,Andrew,Lyons,1987-01-27,Aprilside - housing,Senior,2020-08-15,,15706
213f9be7-9ed6-41ae-ba47-bb8c5807dd3b,75070943690,Mitchell,Harris,1975-07-09,Kennethfurt - cars,Mid-Level,2013-02-23,2023-01-05,9922
32fdaf13-1e69-42e2-adf0-cffb8d62b84b,01042185296,Joanna,Gonzales,2001-04-21,Davidmouth - housing,Intern,2022-03-03,,6259
870d40d2-1416-480f-b8de-582bf646fddd,84082387275,Benjamin,Martin,1984-08-23,East Scott - cars,Junior,2020-05-13,,10447
71831c6b-9285-438e-9e08-c159ca3c01c0,86122444421,Jasmine,Andrews,1986-12-24,West Michael - cars,Junior,2019-11-28,,3898
8bb80716-7124-46aa-a55a-92753ac0c7bd,65031250383,Christopher,Harris,1965-03-12,South Jackie - housing,Specialist,2020-05-22,,19157
e66ee133-58a6-4879-ae54-b055741f6eba,97090653566,Jason,Thomas,1997-09-06,West Danielburgh - housing,Junior,2018-06-09,2024-06-05,8642
57840853-3321-478d-be75-22b0dddc56b4,89032684587,Kimberly,Walker,1989-03-26,Atkinsonport - housing,Junior,2015-12-25,,10353
485400f7-0e18-4da9-8812-effce667fb59,01061162788,Donald,Powers,2001-06-11,North Melaniefurt - cars,Junior,2022-01-10,,13345
3ba7f1d4-914b-4cc8-817a-336ffbf8d025,97120746347,Sue,Richard,1997-12-07,Davidmouth - health,Junior,2019-12-08,2022-08-10,7036
5d2de951-9bbb-41f0-9196-f61a1250f495,73112366995,Stacie,Simmons,1973-11-23,South Angelicabury - housing,Mid-Level,2017-06-03,2024-05-05,7297
c48eddc3-88fd-44c6-8a44-8b3e64fe6e68,90100807908,Arthur,Smith,1990-10-08,Stewartborough - cars,Junior,2022-11-08,,7979
